idx,ans,blc,imaginal-activation,visual-activation,stim,response,rt
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.545
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29500008
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.296
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.296
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29699993
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29500008
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29699993
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600048
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.40100002
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600048
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29699898
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29699898
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599953
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599762
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29500198
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599762
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29599762
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
31200,0.3,5.0,3.5,3.0,RIGHT,1,0.29600143
